latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-13.269,-44.185,305.4,1,1,2019-09-27,0130,T,64,6.0NRT,294.8,5.3,N
-13.27,-44.195,326.2,1,1,2019-09-27,0130,T,100,6.0NRT,294.7,23.1,N
-13.631,-46.889,325,1.3,1.1,2019-09-27,0130,T,100,6.0NRT,296.1,27.4,N
-13.632,-46.9,315.9,1.3,1.1,2019-09-27,0130,T,92,6.0NRT,294.6,15.1,N
-13.634,-46.912,306.9,1.3,1.1,2019-09-27,0130,T,47,6.0NRT,295,5.8,N
-13.622,-46.902,308.5,1.3,1.1,2019-09-27,0130,T,73,6.0NRT,295.1,7.1,N
-13.612,-46.904,339.8,1.3,1.1,2019-09-27,0130,T,100,6.0NRT,297.7,55.4,N
-13.614,-46.916,314.1,1.3,1.1,2019-09-27,0130,T,89,6.0NRT,296.2,12.2,N
-13.602,-46.907,315.3,1.3,1.1,2019-09-27,0130,T,91,6.0NRT,295.6,14.5,N
-13.079,-45.944,301.4,1.1,1.1,2019-09-27,0130,T,34,6.0NRT,290.5,5.3,N
-13.08,-45.955,318.2,1.1,1.1,2019-09-27,0130,T,96,6.0NRT,291,19.8,N
-13.064,-45.905,300.3,1.1,1,2019-09-27,0130,T,21,6.0NRT,290,4.1,N
-13.065,-45.915,304.9,1.1,1,2019-09-27,0130,T,62,6.0NRT,290.5,7.3,N
-13.221,-47.747,315.5,1.4,1.2,2019-09-27,0130,T,63,6.0NRT,289.9,22,N
-12.933,-46.156,307,1.1,1.1,2019-09-27,0130,T,70,6.0NRT,293.1,8.4,N
-12.935,-46.166,313.5,1.1,1.1,2019-09-27,0130,T,87,6.0NRT,293.2,14.1,N
-13.022,-46.906,307.2,1.2,1.1,2019-09-27,0130,T,71,6.0NRT,295.8,7.1,N
-13.091,-47.99,315.9,1.5,1.2,2019-09-27,0130,T,92,6.0NRT,290.5,20.7,N
-13.478,-53.806,304.1,4.1,1.9,2019-09-27,0130,T,44,6.0NRT,284.4,53.7,N
-12.166,-43.354,311.6,1,1,2019-09-27,0130,T,83,6.0NRT,296.9,7.9,N
-12.167,-43.364,308.7,1,1,2019-09-27,0130,T,75,6.0NRT,296.7,5.8,N
-13.461,-53.808,305.5,4.1,1.9,2019-09-27,0130,T,52,6.0NRT,285.8,59.6,N
-13.474,-53.813,309.8,4.1,1.9,2019-09-27,0130,T,78,6.0NRT,285,84.7,N
-12.612,-47.194,312.4,1.3,1.1,2019-09-27,0130,T,20,6.0NRT,294.6,10.1,N
-12.602,-47.195,330.8,1.3,1.1,2019-09-27,0130,T,100,6.0NRT,295.3,37.4,N
-12.603,-47.207,332.9,1.3,1.1,2019-09-27,0130,T,100,6.0NRT,293.2,41.5,N
-12.593,-47.209,321.1,1.3,1.1,2019-09-27,0130,T,100,6.0NRT,291.9,21.6,N
-12.583,-47.21,311.4,1.3,1.1,2019-09-27,0130,T,29,6.0NRT,291.6,9.9,N
-12.584,-47.222,315.8,1.3,1.1,2019-09-27,0130,T,86,6.0NRT,290.7,15.1,N
-12.584,-47.215,320.3,1.3,1.1,2019-09-27,0130,T,100,6.0NRT,291.9,22.4,N
-11.723,-43.853,309.1,1,1,2019-09-27,0130,T,76,6.0NRT,296.5,6.7,N
-11.724,-43.862,312.8,1,1,2019-09-27,0130,T,86,6.0NRT,296.5,9.4,N
-12.119,-47.552,303.2,1.3,1.1,2019-09-27,0130,T,54,6.0NRT,283.5,5.7,N
-12.081,-48.047,307.8,1.4,1.2,2019-09-27,0130,T,32,6.0NRT,293,8.9,N
-12.083,-48.06,306.8,1.4,1.2,2019-09-27,0130,T,28,6.0NRT,293,8,N
-12.045,-48.058,304.1,1.4,1.2,2019-09-27,0130,T,29,6.0NRT,292.2,6.5,N
-12.034,-48.059,304.8,1.4,1.2,2019-09-27,0130,T,34,6.0NRT,292.6,7.6,N
-11.793,-46.697,326.3,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,294.7,27.9,N
-11.795,-46.707,309.5,1.2,1.1,2019-09-27,0130,T,26,6.0NRT,293.5,8.3,N
-11.783,-46.698,322.2,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,294.4,21.1,N
-11.785,-46.709,333.2,1.2,1.1,2019-09-27,0130,T,100,6.0NRT,295.3,38,N
